customer_id,store_pref,start_date,end_date,price_sens,purch_freq,promo_sens,basket_size,repurchase_frequency
0,20,0,155,2,2,2,1,0
1,17,0,155,0,1,0,0,1
2,15,0,155,0,0,1,1,2
3,9,0,155,1,0,0,1,1
4,12,0,155,2,2,1,2,2
5,7,0,155,1,1,1,1,2
6,22,0,155,0,2,1,1,0
7,15,0,155,0,0,0,1,2
8,2,0,155,1,2,0,0,1
9,13,0,155,1,0,2,2,1
10,24,0,155,0,2,1,0,0
11,25,0,155,0,0,1,1,0
12,14,0,155,1,0,0,1,0
13,5,0,155,0,0,0,0,1
14,25,0,155,0,1,0,1,0
15,3,0,155,0,2,0,2,0
16,11,0,155,2,2,0,1,1
17,9,0,155,1,0,1,0,0
18,15,0,155,2,1,0,0,0
19,3,0,155,0,2,1,0,1
20,25,0,155,0,2,1,2,0
21,23,0,155,1,1,0,1,1
22,27,0,155,2,0,0,1,1
23,5,0,155,0,1,2,2,0
24,18,0,155,1,1,1,1,0
25,6,0,155,0,0,1,1,1
26,25,0,155,0,2,0,2,1
27,5,0,155,1,1,0,0,0
28,4,0,155,0,2,0,1,0
29,16,0,155,0,2,1,0,0
30,28,0,155,0,2,0,0,0
31,12,0,155,0,0,2,0,1
32,17,0,155,0,2,2,0,2
33,27,0,155,0,0,0,1,0
34,15,0,155,0,2,0,1,2
35,6,0,155,0,2,2,1,0
36,8,0,155,0,2,2,2,0
37,12,0,155,0,2,1,0,2
38,23,0,155,0,1,0,2,1
39,29,0,155,2,0,0,1,1
40,2,0,155,0,2,0,0,0
41,6,0,155,0,1,0,1,1
42,3,0,155,1,2,0,0,0
43,10,0,155,0,0,0,0,0
44,2,0,155,1,1,0,1,1
45,10,0,155,0,1,1,0,1
46,16,0,155,0,0,0,1,0
47,10,0,155,1,1,0,2,1
48,1,0,155,0,1,2,1,0
49,29,0,155,0,0,0,0,0
50,18,0,155,0,1,0,0,0
51,0,0,155,0,1,0,0,1
52,6,0,155,0,0,2,1,1
53,6,0,155,2,2,0,1,1
54,7,0,155,0,0,0,0,1
55,13,0,155,1,1,0,1,0
56,20,0,155,1,2,0,2,1
57,11,0,155,0,1,0,1,1
58,28,0,155,0,0,0,0,0
59,9,0,155,1,1,0,0,1
60,27,0,155,0,2,1,0,0
61,14,0,155,0,0,0,1,1
62,10,0,155,0,0,2,1,2
63,17,0,155,0,1,0,1,2
64,22,0,155,0,1,0,1,2
65,2,0,155,1,1,0,2,0
66,6,0,155,1,0,0,1,1
67,28,0,155,1,1,0,0,2
68,6,0,155,0,2,0,0,1
69,15,0,155,0,2,0,1,0
70,16,0,155,0,2,0,1,0
71,13,0,155,0,0,0,1,0
72,4,0,155,0,2,0,0,0
73,18,0,155,0,2,0,2,1
74,4,0,155,0,2,0,0,0
75,17,0,155,0,0,2,0,1
76,11,0,155,0,1,0,1,1
77,17,0,155,1,1,0,1,0
78,14,0,155,0,0,1,2,1
79,26,0,155,0,0,0,0,1
80,10,0,155,0,2,0,2,2
81,18,0,155,0,0,1,0,0
82,13,0,155,0,0,0,1,1
83,19,0,155,1,1,0,1,0
84,23,0,155,0,1,0,2,1
85,12,0,155,1,1,0,1,0
86,10,0,155,0,1,0,1,0
87,9,0,155,0,0,0,0,0
88,13,0,155,1,2,0,1,1
89,3,0,155,0,1,2,0,0
90,17,0,155,1,2,0,2,0
91,15,0,155,1,2,1,1,0
92,28,0,155,1,1,0,1,1
93,21,0,155,1,1,0,0,2
94,2,0,155,0,2,0,1,1
95,15,0,155,1,0,1,1,1
96,28,0,155,0,2,2,1,1
97,19,0,155,0,2,0,2,2
98,11,0,155,1,2,1,2,0
99,5,0,155,1,0,0,2,2
100,14,0,155,0,2,0,0,0
